"Design a news feed system.","A news feed system would involve a service that fetches recent posts from a user's connections, ranks them based on relevance using an algorithm, and then displays them. This would require a database to store posts and user relationships, a caching layer for quick retrieval of feeds, and a scalable architecture to handle a large number of users.","Good"
"Design a news feed system.","I'd have a table for posts and a table for users, and then just show the latest posts from the people a user follows.","Average"
"Design a news feed system.","I'd just use a pre-built social media feed component.","Poor"
"What is the difference between horizontal and vertical scaling?","Horizontal scaling involves adding more machines to a system to distribute the load, while vertical scaling means adding more resources (like CPU or RAM) to an existing machine. Horizontal scaling is generally more scalable and resilient.","Good"
"What is the difference between horizontal and vertical scaling?","Horizontal scaling is adding more servers, and vertical scaling is making the server bigger.","Average"
"What is the difference between horizontal and vertical scaling?","Scaling is just making things bigger.","Poor"
"What are the ACID properties?","ACID stands for Atomicity, Consistency, Isolation, and Durability. These are properties of database transactions that ensure data validity despite errors, power failures, and other mishaps. Atomicity ensures that transactions are all-or-nothing. Consistency ensures that a transaction brings the database from one valid state to another. Isolation ensures that concurrent transactions do not interfere with each other. Durability ensures that once a transaction has been committed, it will remain so.","Good"
"What are the ACID properties?","ACID is about making sure database transactions are reliable.","Average"
"What are the ACID properties?","It's a type of database.","Poor"
"What is the difference between DELETE, TRUNCATE, and DROP commands?","DELETE is a DML command that removes rows from a table based on a WHERE clause and can be rolled back. TRUNCATE is a DDL command that removes all rows from a table quickly and cannot be rolled back. DROP is a DDL command that removes the entire table structure and data permanently.","Good"
"What is the difference between DELETE, TRUNCATE, and DROP commands?","They all delete data, but they are used in different ways.","Average"
"What is the difference between DELETE, TRUNCATE, and DROP commands?","They are all the same, just different ways to write delete.","Poor"
"What is the OSI model?","The OSI (Open Systems Interconnection) model is a 7-layer conceptual framework that standardizes the functions of a telecommunication or computing system. The layers are Application, Presentation, Session, Transport, Network, Data Link, and Physical.","Good"
